,National Anthem,sentiment,na_len,Country,Word Count
Suriname,"   God be with our Suriname   And elevate our lovely land   However we came together here   We are dedicated to his land   Working we keep in mind   justice and truth make free   All that’s good we should do   That gives value to our land        Rise country men, rise   The soil of Suriname is calling you.   Where ever our ancestors came from   We should take care of our country.   We are not afraid to fight   God is our leader   Our whole life until our death,   We will fight for Su",NEUTRAL,578,Suriname,578
Sweden (national anthem),"   Thou ancient, thou free and mountainous North   Thou quiet, thou joyful beauty!   I greet thee, most beautiful land upon earth,   Thy sun, Thy sky and meadows green.   Thy sun, Thy sky and meadows green.       Thou rest upon memories of great olden days,   When honored thy name flew across the world,   I know that thou art and will be as thou were,   Yes, I want to live I want to die in the North   Yes, I want to live I want to die in t",NEUTRAL,533,Sweden (national anthem),533
Sweden (royal anthem),"   From the depth of Swedish hearts,   a joint and a simple song,   which reaches forth to the King!   Be faithful to Him and his House,   make the Crown light upon his Head,   and all your faith in Him invest,   thou, people of high renown.       Oh King, Majesty of the people   It is also thine – embrace it   And protect it from fall.   If all the armies of the world against us stand,   We do not fear their threat   We place them before your foot   As a royal footstool       But, if one day our fall is near   From your shoulders let the mantle fall   Remove the burden of the crown   And put on the beloved colours   The old yellow and the blue,   lift the sword by the hilt and go   Towards war and doom       Raise our last banner in your hand   And lead your men yet   To the end and into death   Your faithful people of heroes stock,   Of their best blood, they shall sew   A royal robe, warm and pure   And shroud you in it       Thou Lord of Heaven, stay with us   Just like you did in the olden days   And live on our shores   the old life and spirit   Of the   king and his men   And let your spirit rest   Above the Northe",NEUTRAL,1229,Sweden (royal anthem),1229
Syria,"   Defenders of the realm,   Peace on you;   Our proud spirits will   Not be subdued.   The abode of Arabism,   A hallowed sanctuary;   The seat of the stars,   An inviolable preserve.       Syria’s plains are   Towers in the heights,   Resembling the sky   Above the clouds.   A land resplendant   With brilliant suns,   Becoming another sky,   Or almos",NEUTRAL,444,Syria,444
Taiwan (alternate anthem),"   Lo! The glorious landscape with bountiful goods!   Daughters and sons of Emperors Yan and Huang count as heroes of East Asia!   Do not dismiss yourselves! Do not hold yourselves back!   Further glorify our nation and work towards harmony!   Creating the nation is difficult, so remember our founders!   Maintaining it is not easy either, so do not be short-sighted!   With one heart and one spirit, keep pressing to the goal!   Blue Sky, White Sun, and a Wholly Red Earth!   With one heart and one spirit, keep pressing to the goal!   Blue Sky, White Sun, and a Wholly Re",NEUTRAL,664,Taiwan (alternate anthem),664
Tajikistan (1946-1994),"   When Russia’s hand   Helped us   The brotherhood of the Soviet folk was formed   The star of our life was enlightened   Our glorious pasts   Came to vision and in our land, our land   The independent state of the Tajiks was established.       Being fevered   In the night   Lenin’s invite, stormed   From the light of his flag, the darkness of oppression was gone   The eternal prosperity on this Earth   Was delivered to us from “The Party”, Well done to “The Party”   It’s the noble man, nurtured us so new       Our motto   Will rise   Equality, Brotherhood among our folk   From our family, no one will be left apart   We will make a shield of unity,   Toward the conquering of Communism we’ll travel on, we’ll travel on.   Long live our land, our folk, ou",NEUTRAL,853,Tajikistan (1946-1994),853
Tajikistan,"   Our beloved country,   We are happy to see your pride.   Let your happiness and prosperity be forever.   We have reached this day since ancient times,   We stand under your flag.         Long live my Homeland,    my free Tajikistan!       Your are a symbol of our ancestors’ hope   Our honour and dignity,   Your are an eternal world for your sons,   Your spring will never end,   We remain loyal to you.             You are a Mother for all of us,   Your future is our future,   Your meaning is the meaning of our souls and bodies,   You give us happiness forever,   Because of you, we love the world",POSITIVE,694,Tajikistan,694
Tanzania,"   God Bless Africa.   Bless its leaders.   Let Wisdom Unity and   Peace be the shield of   Africa and its people.          Bless Africa,   Bless Africa,   Bless the children of Africa.        God Bless Tanzania.   Grant eternal Freedom and Unity   To its sons and daughters.   God Bless Tanzania and its People.          Bless Tanzania,   Bless Tanzania,   Bless the children of Ta",POSITIVE,472,Tanzania,472
Thailand (royal anthem),"   I, subject of His great Majesty,   Prostrate my heart and head,   To pay respect to the King, whose merits are boundless,   Sole and supreme Sovereign,   The greatest of Siam,   The greatest in honor,   We are joyous because of the royal rule,   The fruits of your merits preserve   The people in happiness and peace,   May it be that   whatever He wills,   be done   according to the hopes of His great heart   as we wish Him victory, ",NEUTRAL,529,Thailand (royal anthem),529
Thailand (national anthem),"   Thailand embraces in its bosom all people of Thai blood.   Every inch of Thailand belongs to the Thais.   It has long maintained its sovereignty,   Because the Thais have always been united.   The Thai people are peace-loving,   But they are no cowards at war.   They shall allow no one to rob them of their independence,   Nor shall they suffer tyranny.   All Thais are ready to give up every drop of blood   For the nation’s safety, freedom and progress.",NEUTRAL,549,Thailand (national anthem),549
Tibet,"   The source of temporal and spiritual wealth of joy and boundless benefits   The Wish-fulfilling Jewel of the Buddha’s Teaching, blazes forth radiant light   The all-protecting Patron of the Doctrine and of all sentient beings   By his actions stretches forth his influence like an ocean   By his eternal Vajra-nature   His compassion and loving care extend to beings everywhere   May the celestially appointed Government of Gawa Gyaden achieve the heights of glory   And increase its fourfold influence and prosperity   May a golden age of joy and happiness spread once more through these regions of Tibet   And may its temporal and spiritual splendour shine again   May the Buddha’s Teaching spread in all the ten directions and lead all beings in the universe to glorious peace   May the spiritual Sun of the Tibetan faith and People   Emitting countless rays of auspicious light   Victoriously dispel the strife of ",NEUTRAL,1011,Tibet,1011
Timor-Leste,"  Fatherland, fatherland, East Timor our Nation   Glory to the people and to the heroes of our liberation      Fatherland, fatherland, East Timor our Nation   Glory to the people and to the heroes of our liberation       We vanquish colonialism,    We cry: down with imperialism!   Free land, free people,    No, no, no to exploitation.      Let us go forward, united, firm and determined   In the struggle against imperialism,    The enemy of people,   Until final victory,    Onward to rev",NEUTRAL,581,Timor-Leste,581
Togo (1979-1991),"   Let us put aside any bad spirit that hinders national unity.   Fighting it as imperialism.   The settling of scores, hatred and anarchy   Merely slow down the revolution.   If we are divided, the enemy infiltrates   In our ranks to exploit us.         The Union, Union, Union,   Oh, Togo!   Our ancestors are calling us.   Peace, Peace, Peace,   Oh, Togo!   Our ancestors we ordered.       Remember all the historic appeal of 30 August 1969.   Let us hear it loud forever.   Our way of salvation is the Rally,   Gathering all Togolese   For the great victory. Arise Togolese!   Carry the torch of the Union!             Let us put aside the evil spirit that hinders African unity.   Let us avoid it as imperialism.   The cannon and gunfire   Do nothing but slow the momentum of Africa.   From our disunity imperialism benefits,   Enjoy good for our opposition.         Peace, Peace, Peace,   Oh, God! Peace,   Peace for Africa!   Peace, Peace, Peace,   Oh, God! Peace,   Peace for",NEUTRAL,1073,Togo (1979-1991),1073
Togo,"   Hail to thee, land of our forefathers,   Thou who made them strong, peaceful and happy,   Cultivating virtue and bravery   For posterity.   Even if tyrants shall come, thy heart yearns towards freedom.   Togo arise! Let us struggle without faltering.   Victory or death, but dignity.   God almighty, Thou alone we exalt   You have made Togo prosper.   People of Togo arise! Let us build the nation.       To serve thee in unity    That is the most burning desire of our hearts.    Let us shout aloud our motto    That nothing can tarnish.    We the only builders of thy happiness and of thy future,    Everywhere let us break chains and treachery,    And we swear to thee for ever faith,    And love, service, untiring zeal,    To make thee yet,    Beloved Togo, a golden example for humanity.        Hail, hail to the entire Universe   Let us unite our efforts on this immense building site   Whence will be reborn anew   Great Humanity.   Everywhere, instead of misery, let us bring happiness.   Let us chase from the world unruly hatred.   It’s over with slavery and Captivity.   At the star of liberty,   Let us renew the solidarity   Of the Nations in frat",NEUTRAL,1254,Togo,1254
Tokelau,"   The god of Tokelau   The god of villages, the god of Tokelau   Do bless Tokelau   Carefully tend the peaceful ito   My land, your custom   Your flag that’s waving   Of one mind, stand firm as a foundation   Tokelau for the god   The god of ",NEUTRAL,333,Tokelau,333
Tonga,"   Oh, almighty God!   You are our Lord,   It is You, the pillar   And the love of Tonga.      Look down on our prayer   That is what we do now   And may You answer our wish   To protect",NEUTRAL,276,Tonga,276
Transkei,"   Lord, bless Africa   May her spirit rise high up   Hear thou our prayers   Lord bless us.      Lord, bless Africa   May her spirit rise high up   Hear thou our prayers   Lord bless us Your family.             Descend, O Spirit   Descend, O Holy Spirit   Lord bless us   Your",NEUTRAL,367,Transkei,367
Transvaal,"   Do you know the people full of heroic courage   and yet so long servants?   It has offered possessions and blood   for freedom and for justice.   Come, citizens, let the flags wave,   our suffering is past;   be joyous in the victory of our brave ones;   We are the free people!   The free people, the free people, the free, free people are we!       Do you know the land,   so seldom visited,   and yet so wonderfully beautiful;   where nature has wrought her wonders,   and profligately puts them on display?   Transvalers! let our festival song resound!   There were our people stood fast,   where our gunshots of joy resound,   there is our fatherland,   That wonderful land, that wonderful land, that is, that is our fatherland!       Do you know the State,   yet still a child among the States of the world,   but nontheless by the mighty British power   truly declared as free?   Transvalers! Noble was your struggle,   and painful our suffering,   but God has given the outcome,   and praise for our own State!   Praise our God! Praise our God! Praise our God! Praise our God for land an",NEUTRAL,1188,Transvaal,1188
Trinidad and Tobago,"   Forged from the love of liberty,   In the fires of hope and prayer,   With boundless faith in our Destiny,   We solemnly declare,   Side by side we stand,   Islands of the blue Caribbean Sea,   This our Native Land,   We pledge our lives to Thee,   Here every creed and race   an equal place,   And may God bless our Nation,   Here every creed and race   an equal place,   And may God bless our",NEUTRAL,487,Trinidad and Tobago,487
Tunisia,"     O defenders of the Homeland!   Rally around to the glory of our time!   The blood surges in our veins,   We die for the sake of our land.       Let the heavens roar with thunder   Let thunderbolts rain with fire.   Men and youth of Tunisia,   Rise up for her might and glory.   No place for traitors in Tunisia,   Only for those who defend her!   We live and die loyal to Tunisia,   A life of dignity and a death of glory.             As a nation we inherited   Arms like granite towers.   Holding aloft our proud flag flying,   We boast of it, it boasts of us,   Arms that achieve ambitions and glory,   Sure to realize our hopes,   Inflict defeat on foes,   Offer peace to friends.             When the people will to live,   Destiny must surely respond.   Oppression shall then vanish.   Fetters are certain to break.  ",NEUTRAL,917,Tunisia,917
Turkmenistan (1946-1997),"   Bulwark of peoples’ friendship is unbreakable.   The whole Soviet Union became a united family!   And the Russian people became a stronghold of friendship.   We’re blessed with happiness in our native land.          Sing to the native land, sunny and free!   Lenin’s Party is a wise helmsman.   Your victorious step is directed to the communism,   Blossom ye, the soviet land, our Turkmenistan!       Lenin paved for us a clear way to freedom   And led us to eternal happy life.   He raised peoples to fight for justice,   Inspired them to exploits and to labor triumph!             Selflessly we serve the Communism’s cause,   We tied our destinies to it – to day to come.   And with scarlet banner, the banner of the Motherland,   To the greatest aim we valorously march on!",NEUTRAL,869,Turkmenistan (1946-1997),869
Turkey,"   Fear not! For the crimson flag that proudly waves in these dawns, shall never fade,   Before the last fiery hearth that is ablaze within my nation burns out.   And that, is the star of my nation, and it will forever shine;   It is mine; and solely belongs to my nation.        Frown not, I beseech you, oh thou coy crescent,   But smile upon my heroic nation! Why the anger, why the rage?   The blood we shed for you will not be worthy otherwise;   For freedom is the absolute right of my God-worshipping nation.        I have been free since the beginning and forever will be so.   What madman shall put me in chains! I defy the very idea!   I’m like the roaring flood; powerful and independent,   I’ll tear apart mountains, exceed all that is known to Man, and still gush out!        The lands of the West may be armored with walls of steel,   But I have borders guarded by the mighty chest of a believer.   Recognize your innate strength! And think: how can this fiery faith ever be killed,   By that battered, single-toothed monster you call  ?        My friend! Leave not my homeland to the hands of villainous men!   Render your chest as armor! Stop this disgraceful rush!   For soon shall be come the day of promised freedom…   Who knows? Perhaps tomorrow? Perhaps even sooner!        See not the soil you tread on as mere earth,   But think about the thousands beneath you that lie without even shrouds.   You’re the noble son of a martyr, take shame, hurt not your ancestor!   Unhand not, even when you’re promised worlds, this paradise of a homeland.        What man would not die for this heavenly piece of land?   Martyrs would gush out if you just squeeze the soil! Martyrs!   May God take all my loved ones and possessions from me if he will,   But may he not deprive me of my one true homeland for the world.        O Lord, the sole wish of my heart is that,   No infidel’s hand should touch the bosom of my temple.   These adhans, the shahadah of which is the base of the religion,   Shall sound loud over my eternal homeland.        Then my tombstone – if there is one – will a thousand times   in ecstasy,   O Lord, tears of blood flowing out of my every wound,   My corpse will gush out from the earth like a spirit,   And then, my head will perhaps rise and reach the heavens.        So flap and wave like the dawning sky, oh glorious crescent,   So that our every last drop of blood may finally be worthy!   Neither you nor my nation shall ever be extinguished!   For freedom is the absolute right of my ever-free flag;   For freedom is the absolute right of my God-worshipping ",NEUTRAL,2692,Turkey,2692
Turkmenistan (1997-2008),"        The great creation of  ,   Native land, sovereign state,   Turkmenistan, light and song of soul,   Long live and prosper for ever and ever!        I am ready to give life for native hearth,   The spirit of ancestors descendants are famous for,   My land is sacred, My flag flies in the world   A symbol of the great neutral country flies.               My nation is united and is veins of tribes   Ancestors’blood, undying flows,   Ston-ns and misfortunes of times are not dreadful for us,   Let us increase fame and honour!               Mountains, rivers and beauty of steppes,   Love and destiny, revelation of mine,   Let my eyes go blind for any cruel look at you,   Motherland of ancestors and heirs o",NEUTRAL,805,Turkmenistan (1997-2008),805
Turks and Caicos Islands,"   Oh we salute this land of ours   Our country we declare   This promised land    With its beauties grand   Though small it is our own       :   Turks and Caicos, Turks and Caicos   Our country firm and free   Our allegiance, Turks and Caicos   We pledge and we affirm.       From the east, west, north and south   Our banks and oceans meet   Surrounding sands and hills of glee   Our pristine beauties see             Our people forged and blend   With multiplicity   Of race and kind and creed and tongue   United by our goals             We stand with courage brave   To maintain this land of ours   With islands scattered here and there   With trust in God we stand",POSITIVE,760,Turks and Caicos Islands,760
Turkmenistan,"   I am ready to give life for native hearth,   The spirit of ancestors descendants are famous for,   My land is sacred, My flag flies in the world   A symbol of the great neutral country flies.          The forever great creation of the people   Native land, sovereign state,   Turkmenistan, light and song of soul,   Long live and prosper for ever and ever!        My nation is united and is veins of tribes   Ancestors’ blood, undying flows,   Storms and misfortunes of times are not dreadful for us,   Let us increase fame and honour!",NEUTRAL,628,Turkmenistan,628
Tuvalu,"   “Tuvalu for the Almighty”   Are the words we hold most dear;   For as people or as leaders   Of Tuvalu we all share   In the knowledge that God   Ever rules in heav’n above,   And that we in this land   Are united in His love.   We build on a sure foundation   When we trust in God’s great law;   “Tuvalu for the Almighty”   Be our song for evermore!       Let us trust our lives henceforward   To the King to whom we pray,   With our eyes fixed firmly on Him   He is showing us the way.   “May we reign with Him in glory”   Be our song for evermore,   for His almighty power   Is our strength from shore to shore.   Shout aloud in jubilation   To the King Whom we adore.   “Tuvalu free and united”   Be our song for e",NEUTRAL,811,Tuvalu,811
Uganda,"   Oh Uganda! may God uphold thee,   We lay our future in thy hand.   United, free,   For liberty   Together we’ll always stand.       Oh Uganda! the land of freedom.   Our love and labour we give,   And with neighbours all   At our country’s call   In peace and friendship we’ll live.       Oh Uganda! the land that feeds us   By sun and fertile soil grown.   For our own dear land,   We’ll always stand,   The Pearl of Africa’",NEUTRAL,518,Uganda,518
Ukraine (1949-1991),"   Live, Ukraine, beautiful and mighty, –   In the Soviet Union you have found happiness.   Equal between the  , free between the free ones,   Under the sunrays of freedom you have bloomed as a flower.         Glory to the Soviet Union, Glory!   Glory to the Motherland in the eternity!   Live, Ukraine, soviet power,   In the united homeland of fraternal nations.       In battles for people’s fate   Russian people were always our friend and brother.   Lenin led us in a victorious campaign   Under October’s banner to brilliant heights.              We fame our mighty Fatherland with labor,   Affirm the truth of immortal ideas.   To the shining communism – the great future –   Lenin’s party wisely leads us.",NEUTRAL,803,Ukraine (1949-1991),803
Ukraine,"   Ukraine’s glory hasn’t perished, nor her freedom   Upon us, fellow compatriots, fate shall smile once more.   Our enemies will vanish, like dew in the morning sun,   And we too shall rule, brothers, in a free land of our own.         We’ll lay down our souls and bodies to attain our freedom,   And we’ll show that we, brothers, are of the Kozak nation.   We’ll lay down our souls and bodies to attain our freedom,   And we’ll show that we, brothers, are of the Kozak",NEUTRAL,560,Ukraine,560
Union of Soviet Socialist Republics (1922-1944),"   Arise, you who are branded by a curse,   You, the world’s starving and enslaved!   Our outraged minds are boiling,   Ready to lead us into a deadly fight.   We will destroy this world of violence   Down to the foundations, and then   We will build our new world.   He who was nothing will become everything!         This will be the final   and decisive battle.   With the Internationale   the human race will arise.   This will be the final   and decisive battle.   With the Internationale   the human race will arise.       No one will grant us deliverance,   Not god, nor Tsar, nor hero.   We will win our liberation,   With our very own hands.   To throw down oppression with a skilled hand,   To take back what is ours –   Fire up the furnace and hammer boldly,   while the iron is still hot!             Only we, the workers of the worldwide   Great army of labour,   Have the right to own the land,   But the parasites – never!   And if the great thunder rolls   Over the pack of dogs and executioners,   For us, the sun will still   Shine on with its fiery rays",NEGATIVE,1162,Union of Soviet Socialist Republics (1922-1944),1162
United Kingdom,"   God save our gracious Queen,   Long live our noble Queen,   God save the Queen:   Send her victorious,   Happy and glorious,   Long to reign over us:   God save the Queen.       O Lord, our God, arise,   Scatter her enemies,   And make them fall.   Confound their politics,   Frustrate their knavish tricks,   On Thee our hopes we fix,   God save us all.       Thy choicest gifts in store,   On her be pleased to pour;   Long may she reign:   May she defend our laws,   And ever give us cause      God save th",NEUTRAL,602,United Kingdom,602
United Nations,"   Eagerly, musician.    Sweep your string,    So we may sing.    Elated, optative,    Our several voices    Interblending,    Playfully contending,    Not interfering    But co-inhering,    For all within    The cincture    of the sound,    Is holy ground    Where all are brothers,    None faceless Others,       Let mortals beware    Of words, for    With words we lie,    Can say peace    When we mean war,    Foul thought speak- fair    And promise falsely,    But song is true:    Let music for peace    Be the paradigm,    For peace means to change    At the right time,    as the World-Clock    Goes Tick- and Tock.       So may the story    Of our human city    Presently move    Like music, when    Begotten notes    New notes beget    Making the flowing    Of time a growing    Till what it could be,       At last it is,    Where even sadness    Is a form of gladness,    Where fate is freedom,    Grace and S",NEUTRAL,1011,United Nations,1011
United States (to 1931),"   Hail  , happy land!   Hail, ye heroes, heav’n-born band,   Who fought and bled in freedom’s cause,   Who fought and bled in freedom’s cause,   And when the storm of war was gone   Enjoy’d the peace your valor won.   Let independence be our boast,   Ever mindful what it cost;   Ever grateful for the prize,   Let its altar reach the skies.         Firm, united let us be,   Rallying round our liberty,   As a band of brothers joined,   Peace and safety we shall find.       Immortal patriots, rise once more,   Defend your rights, defend your shore!   Let no rude foe, with impious hand,   Let no rude foe, with impious hand,   Invade the shrine where sacred lies   Of toil and blood, the well-earned prize,   While off’ring peace, sincere and just,   In Heaven’s we place a manly trust,   That truth and justice will prevail,   And every scheme of bondage fail.             Behold the chief who now commands,   Once more to serve his country stands.   The rock on which the storm will break,   The rock on which the storm will break,   But armed in virtue, firm, and true,   His hopes are fixed on Heav’n and you.   When hope was sinking in dismay,   When glooms obscured Columbia’s day,   His steady mind, from changes free,   Resolved on death or liberty.             Sound, sound the trump of fame,   Let Washington’s great fame   Ring through the world with loud applause,   Ring through the world with loud applause,   Let ev’ry clime to freedom dear,   Listen with a joyful ear,   With equal skill, with God-like pow’r   He governs in the fearful hour   Of horrid war, or guides with ease   The happier time of honest peace",POSITIVE,1723,United States (to 1931),1723
Uruguay,"     Eastern landsmen, our country or the grave!   Freedom, or with glory to die.   Eastern landsmen, our country or the grave!   Freedom, or with glory to die.   This is the vow that our souls take   And which we know how, courageously, to fulfil,   This is the vow that our souls take   And which we know how, courageously, to fulfil,   Know how to fulfil,   This is the vow that our souls take   And which we know how, courageously, to fulfil,   Know how to fulfil!   Know how to fulfil!   Know how to fulfil!       Freedom, freedom, eastern landsmen,   This cry saved our country,   Inflaming its brave men   With enthusiasm in fierce battles.   Freedom, freedom, eastern landsmen,   This cry saved our country,   Inflaming its brave men   With enthusiasm in fierce battles.   We merited the glory of this sacred gift.   Let tyrants tremble!   Let tyrants tremble!   Let tyrants tremble!   Ah, in the fight we shall clamour for freedom   And, dying still cry for it,   And, dying still cry for it,   Still cry for it,   Still cry for it",NEUTRAL,1130,Uruguay,1130
Vanuatu,"     We, we, we are happy to proclaim   We, we, we are the people of Vanuatu       God has given us this land,   We have great cause for rejoicing   We are strong and we are free in this land   We are all brothers             There were many ways before   There are many ways today   But we are all one   Despite our many ways             We work hard    On our many islands   God helps us in our work   He is Our Father",POSITIVE,510,Vanuatu,510
United States,"   Oh, say can you see by the dawn’s early light   What so proudly we hailed at the twilight’s last gleaming?   Whose broad stripes and bright stars thru the perilous fight,   O’er the ramparts we watched were so gallantly streaming?   And the rocket’s red glare, the bombs bursting in air,   Gave proof thru the night that our flag was still there.   Oh, say does that star-spangled banner yet wave   O’er the land of the free and the home of the brave?       On the shore, dimly seen through the mists of the deep,   Where the foe’s haughty host in dread silence reposes,   What is that which the breeze, o’er the towering steep,   As it fitfully blows, half conceals, half discloses?   Now it catches the gleam of the morning’s first beam,   In full glory reflected now shines in the stream:   ‘Tis the star-spangled banner!  Oh long may it wave   O’er the land of the free and the home of the brave.       And where is that band who so vauntingly swore   That the havoc of war and the battle’s confusion,   A home and a country should leave us no more!   Their blood has washed out of their foul footsteps’ pollution.   No refuge could save the hireling and slave   From the terror of flight and the gloom of the grave:   And the star-spangled banner in triumph doth wave   O’er the land of the free and the home of the brave.       Oh! thus be it ever, when freemen shall stand   Between their loved home and the war’s desolation!   Blest with victory and peace, may the heav’n rescued land   Praise the Power that hath made and preserved us a nation.   Then conquer we must, when our cause it is just,   And this be our motto: “In God is our trust.”   And the star-spangled banner in triumph shall wave   O’er the land of the free and the home of th",NEUTRAL,1845,United States,1845
Uzbekistan,"   Stand tall, my free country, good fortune and salvation to you,   You yourself a companion to friends, Oh! Loving one!   Flourish, Oh! Creator of eternal knowledge and science,   May your fame for ever shine bright!         These valleys are golden – my dear Uzbekistan,   Our forefathers’ manly spirits your companion!   Strenght of great people in turbulent times   Made this land the world’s joy!       Oh! Generous Uzbek, your faith will not fade,   Free, young generations are your mighty wings!   The torch of independence, guardians of peace,   Oh! Worthy motherland, flourish and prosper eternally",NEUTRAL,698,Uzbekistan,698
Vatican City,"    O fortunate Rome, O fortunate noble Rome.    O fortunate Rome, fortunate and noble Rome.    You are the see of Peter, who acts in the place of Christ,    You are the see of Peter, who is the apostle of peace.       Pontiff, we will all be with you   Pontiff, be the teacher who confirms your brethren.    Pontiff, we will all be with you   Pontiff, be the teacher who confirms your brethren.    Pontiff, our foundation and our strength,    And  , you are the shepherd of the flock, binding earth and heaven.       Peter, you are the are the vicar of Christ upon the earth,    A rock amidst the waves, you are a beacon and the truth.    You are the love of Christ, you are the guardian of unity,    Ready defender of liberty; authority is in you.       Peter, you are the are the vicar of Christ upon the earth,    A rock amidst the waves, you are a beacon and the truth.    You are the love of Christ, you are the guardian of unity,    Ready defender of liberty; authority is in you.       O noble Rome, Oh fortunate, noble Rom",NEUTRAL,1121,Vatican City,1121
Upper Volta,"   Proud Volta of my forefathers,   Thy glorious burning sun   Clothes thee in golden light,   O Queen draped in loyalty.          We will make thee stronger and more beautiful,   We will stay faithful of thy love,   And our hearts, beating with pride,   Will acclaim thy beauty.        Raise thine eyes towards the future   Vibrating with tumultuous voices   Of thy proud children, standing ready,   The promise of a happy future.              The toil on thy burning soil   Will never cease to brace the fervent hearts,   And the virtues of thy children   Will circle it with a triumphal crown.              May God protect thee in His goodness;   For the happiness of thy beloved land,   May brotherly love be the key   And honour, unity and liberty. ",NEUTRAL,844,Upper Volta,844
Uzbekistan (1947-1992),"   , Russian brother, your nation is great!   Glorious be, immortal chief, our own Lenin!   The way of struggle for freedom led us forward,   And Uzbek has been glorified by the Soviet country.         Party, you lead our Uzbekistan.   He is flourishing, blessed with joyful destiny.   Land of earth treasures is in sunshine,   And in the native country happiness is always with you.       On a hot day the sunshine was hidden from us,   We were thirsty by full rivers,   Lenin discovered for us the October dawn,   Lenin will live in our hearts for ages.             Communism – you’re the spring bloom of the earth,   Brotherhood, equality and friendship – our bulwark.   We raise the banner of the glorious victories,   The Soviet scarlet flag brings light to the world",POSITIVE,862,Uzbekistan (1947-1992),862
British Virgin Islands,"   Out of the huts of history’s pain   Our ancestors bled and died   But with strength and will power we overcame   To restore Virgin Islands pride!   To preserve your beauty we devised a plan   To retain ownership of your precious lands!   Educating your people is the golden key   To maintain the success of this Territory!         Oh how radiant are your daughters!   And how wealthy are your sons!   Your beaches boast your beauty!   And your success is second to none!   Green and brilliant are your hillsides!   They replenish our hopes and pride!   Oh   Virgin Islands!   Your qualities can never be denied!       May God richly bless this Territory!   May we ask three things of thee,   Courage for our great leaders   That they may rule our destiny!   We ask for wisdom for our people   That we may live in harmony!   And understanding for our children   So they may cherish this legacy",NEUTRAL,985,British Virgin Islands,985
Wales,"   The old land of my fathers is dear to me,   Land of poets and singers, famous men of renown;   Her brave warriors, very splendid patriots,   For freedom shed their blood.         Nation, nation, I am faithful to my nation.   While the sea [is] a wall    to the pure, most loved land,   O may the old language endure.       Old mountainous Wales, paradise of the bard,   Every valley, every cliff, to me is beautiful.   Through patriotic feeling, so charming is the murmur   Of her brooks, rivers, to me.             If the enemy oppresses my land under his foot,   The old language of the Welsh is as alive as ever.   The muse is not hindered by the hideous hand of treason,   Nor is the melodious harp of my country",NEUTRAL,809,Wales,809
Venezuela,"     Glory to the brave nation    Which shook off the yoke,   Respecting law,    Virtue and honour.    Glory to the brave nation    Which shook off the yoke,   Respecting law,    Virtue and honour.        “Off with the chains! Off with the chains!”    Cried the Lord, cried the Lord,    And the poor man in his hovel    Implored freedom.   At this holy name,    there trembled   The vile selfishness    that had triumphed,   At this holy name, At this holy name,    there trembled   The vile selfishness    that had triumphed,   The vile selfishness    that had triumphed,             Let’s cry out aloud, Let’s cry out aloud:   Down with oppression! Down with oppression!   Faithful countrymen, your strength   Lies in your unity;   And from the heavens   The supreme Creator   Breathed a sublime spirit   Into the nation.   And from the heavens And from the heavens   The supreme Creator   Breathed a sublime spirit   Into the nation.   Breathed a sublime spirit   Into the nation.             United by bonds United by bonds   Made by heaven, Made by heaven,   All America exists   As a Nation;   And if tyranny   Raises its voice,   Follow the example   Given by Caracas.   And if tyranny And if tyranny   Raises its voice,   Follow the example   Given by Caracas.   Follow the example   Given by Caracas",NEUTRAL,1398,Venezuela,1398
U. S. Virgin Islands,"   All hail our Virgin Islands.   Em’ralds of the sea,   Where beaches bright with coral sand    And trade winds bless our native land.   All hail our Virgin Islands,   Bathed in waters blue,   We give our loyalty,    Full to thee,   And pledge allegiance forever true.       To thee our Virgin Islands,   Loving voices raise   A song in praise of brotherhood,   Where right makes might to fight for good.   To thee our Virgin Islands,   Haven of the free,   We sing our love to thee,    Joyously,    Our own fair islands of liberty.       March on oh Virgin Islands,    In the joyful throng,   Uphold the right and right the wrong    Where only peace and love belong.   March on oh Virgin Islands,   Democratic land.   Together hand in hand,    Take your stand,    Forever soldiers in freedom’s band.         God bless our Virgin Islands,   Humbly now we pray,   Where all mankind can join today    In friendly warmth of work and play.   God bless our Virgin Islands,    Beautiful and tall.   Beneath a sunny sky,    Hilltops high    Hold out a welcome for one ",NEUTRAL,1152,U. S. Virgin Islands,1152
Vietnam,"   Soldiers of Vietnam, we go forward,   With the one will to save our Fatherland,   Our hurried steps are sounding on the long and arduous road.   Our flag, red with the blood of victory, bears the spirit of our country.   The distant rumbling of the guns passes over the bodies of our foes.   Overcoming all hardships, together we build our resistance bases.   Ceaselessly for the people’s cause let us struggle,   Let us hasten to the battle-field!   Forward! All together advancing!   Our Vietnam is strong, eternal.       Soldiers of Vietnam, we go forward!   The gold star of our flag in the wind   Leading our people, our native land, out of misery and suffering.   Let us join our efforts in the fight for the building of a new life.   Let us stand up and break our chains   For too long have we swallowed our hatred.   Let us keep ready for all sacrifices and our life will be radiant.   Ceaselessly for the people’s cause let us struggle,   Let us hasten to the battle-field!   Forward! All together advancing!   Our Vietnam is strong, ",NEUTRAL,1136,Vietnam,1136
